O_A,O_B,S_A,S_B
-1.452717,-1.678666,0.137198,0.838515
2.091565,0.568531,0.527828,0.637073
-0.162549,-2.082924,0.525912,0.884445
-2.891034,-2.888098,0.904495,0.958151
-0.625635,2.379590,0.362242,0.022678
1.097545,-3.039613,0.737706,0.337711
0.054391,1.575643,0.507712,0.747855
-1.445126,-0.829413,0.089142,0.303261
-0.018205,3.229842,0.836028,0.785436
-1.044770,0.953341,0.301681,0.432711
1.246310,-0.109115,0.248396,0.265650
6.366840,1.179001,0.352211,0.889335
1.330003,-1.227430,0.264483,0.067508
-0.874282,4.493150,0.743303,0.600945
-0.818713,2.903580,0.545548,0.954322
-0.713119,-1.252954,0.059501,0.598116
-1.379242,-0.427551,0.371421,0.006323
-2.225702,-2.624355,0.106134,0.596995
-0.918644,1.312209,0.363650,0.659881
1.623621,-1.392964,0.139302,0.489275
-0.207073,1.342401,0.835325,0.070002
0.471766,0.907007,0.301238,0.332259
1.766842,0.947496,0.090547,0.717900
-1.572094,-0.193257,0.947219,0.566803
-0.370117,1.083758,0.714778,0.254086
-0.446462,0.549216,0.914028,0.023234
1.541561,1.038427,0.537449,0.019910
-0.678026,-3.604139,0.721357,0.375182
0.377929,0.013689,0.860015,0.769106
-4.106283,0.353812,0.310357,0.831262
0.467416,-3.801492,0.317008,0.031657
2.038643,0.966397,0.334174,0.638123
-0.072808,2.809167,0.326628,0.364157
-1.570803,-2.969598,0.191111,0.156937
0.825975,-0.983589,0.437602,0.813523
-0.473124,4.446610,0.879565,0.019819
-1.769898,1.978177,0.750732,0.188247
-0.626822,-1.820105,0.320727,0.345796
0.187163,1.318112,0.336787,0.676267
0.256054,0.277562,0.736490,0.505522
0.531653,2.223159,0.394193,0.541182
0.292618,-2.721521,0.093099,0.669488
-0.798104,-2.360482,0.837646,0.033712
-3.095988,-3.784986,0.521046,0.545037
-0.892047,-1.011488,0.941454,0.432247
0.597036,0.317402,0.814088,0.702532
-0.598242,4.507672,0.920231,0.549713
-0.495642,-1.496214,0.537982,0.086932
-1.646418,-0.961384,0.905082,0.599134
-0.150911,1.823504,0.671149,0.927237
-5.444330,-0.191756,0.595090,0.308618
-0.965541,-0.312154,0.315028,0.972791
3.239470,1.927053,0.912238,0.779004
0.664650,-0.439289,0.534297,0.589359
-0.497662,-0.682116,0.707001,0.711548
-3.247277,1.119632,0.087013,0.885578
-1.315279,2.544999,0.993182,0.497808
-0.525363,-1.440372,0.355224,0.959092
-0.556045,-1.783950,0.522498,0.368642
0.701005,-0.948551,0.306671,0.518043
-2.074247,2.817540,0.770999,0.267650
-1.548068,-0.041189,0.373841,0.350272
-0.231260,-1.444374,0.984883,0.269448
2.646032,-0.386011,0.588604,0.538465
2.162897,1.562869,0.068189,0.652317
-0.001258,-1.626402,0.281150,0.802084
-1.875407,2.317417,0.224049,0.004237
-0.075529,3.205108,0.412374,0.835913
-0.904110,-0.757086,0.437009,0.170017
-1.044512,0.275864,0.230098,0.065148
2.709703,1.825356,0.531550,0.561636
0.644648,-0.045199,0.391908,0.821181
-0.078480,-3.326643,0.105164,0.202045
-1.704188,-0.717686,0.390247,0.498163
-1.023505,0.351243,0.342054,0.536611
2.193139,-3.694621,0.499214,0.674861
0.493596,2.336327,0.077198,0.023486
3.314498,-0.701860,0.993686,0.451620
1.619275,-0.882673,0.522093,0.490865
-1.113803,-1.577095,0.983222,0.169700
0.203895,-0.792842,0.687299,0.336902
-1.238524,1.759365,0.230702,0.771630
-1.470504,2.137422,0.900479,0.826129
1.244931,-2.452460,0.217061,0.516844
-1.952083,-1.958733,0.187725,0.984450
-1.573458,-0.202608,0.493873,0.222767
-3.179311,-1.287177,0.004847,0.125583
-2.166436,2.796020,0.963131,0.915251
1.079665,-1.913075,0.704179,0.758053
1.334091,0.915540,0.249546,0.426565
-1.547042,-0.514062,0.246443,0.918620
-1.948086,0.646441,0.668875,0.299462
-1.015727,3.086594,0.218378,0.476825
-0.348472,-1.412015,0.993513,0.341707
