O_A,O_B,S_A,S_B
4.243526,3.572222,0.540819,0.025264
2.145991,0.061353,0.180453,0.949618
-0.937307,1.218978,0.100704,0.553534
0.80906,1.44163,0.025518,0.787159
-0.37771,0.945921,0.788482,0.061694
2.217827,0.30335,0.64169,0.780365
1.117609,-0.120632,0.967607,0.061444
1.74504,2.382609,0.747872,0.120365
-0.173207,2.421689,0.726287,0.030016
-0.134812,2.031344,0.739569,0.431328
-0.927012,-1.716195,0.495588,0.214881
3.209412,0.768653,0.482281,0.685825
-2.529803,1.825996,0.471158,0.466134
-2.963049,-0.196114,0.210613,0.688756
-2.035891,-1.067259,0.655087,0.572585
0.556988,0.446596,0.329006,0.251225
-0.326967,3.084857,0.284289,0.50574
-1.697824,2.813182,0.978899,0.004875
-0.399062,3.462086,0.820364,0.487622
-0.106342,-1.774547,0.423212,0.233137
-1.589595,0.605808,0.142263,0.593381
1.665596,-2.345849,0.314147,0.383561
-0.96096,2.829201,0.769182,0.818884
2.349932,-1.409615,0.232009,0.620196
1.571964,-0.547806,0.360227,0.200211
0.642416,0.63326,0.86829,0.156373
0.650552,-0.813375,0.549642,0.849838
-0.658883,0.864295,0.843039,0.158479
-1.815407,-1.158805,0.020474,0.564634
1.402581,0.47487,0.909152,0.707474
-1.359523,-3.146502,0.665631,0.323949
2.89403,-0.839049,0.247388,0.481957
-0.230548,0.968317,0.959909,0.553565
-0.617007,-0.232265,0.969254,0.749175
-2.002862,0.778944,0.836699,0.094648
-1.141514,-0.752795,0.320321,0.481062
-1.057423,0.843799,0.461151,0.929355
0.531356,1.076489,0.44713,0.634979
-0.76374,-0.628471,0.766194,0.870844
-1.436526,3.721949,0.47457,0.819887
0.987668,0.561843,0.892684,0.693751
0.870658,1.832642,0.488239,0.465593
-0.905425,-0.323209,0.027285,0.418941
-1.5384,1.3586,0.788026,0.768088
0.584536,-1.63841,0.969005,0.374612
0.398814,1.098551,0.880256,0.335796
-5.500976,-0.44175,0.608715,0.056706
-0.683195,-1.139938,0.425094,0.8612
2.461216,0.180506,0.511598,0.007716
0.901702,1.903703,0.344749,0.80769
-2.244506,-0.333875,0.824024,0.569482
-0.930855,0.347178,0.951784,0.396294
-1.296527,-0.286935,0.482231,0.299045
0.942203,1.5478,0.846223,0.127496
1.029632,-0.192369,0.049247,0.739942
2.1201,-0.229262,0.824309,0.706391
1.129729,-3.408335,0.017608,0.810476
1.399037,0.259725,0.397691,0.453811
-0.546741,0.887252,0.725837,0.280929
3.164531,2.048251,0.34906,0.033857
1.987713,2.606022,0.538082,0.010307
-0.596956,0.062371,0.797457,0.019754
2.644191,4.415507,0.274643,0.409823
-3.618681,-1.839224,0.032954,0.83208
2.791011,3.906166,0.429458,0.29256
1.356252,-3.998977,0.530442,0.915369
-1.117267,0.7917,0.802846,0.493826
0.574798,0.956375,0.79267,0.799286
0.579564,1.211372,0.042857,0.305962
-0.785526,-3.788551,0.376756,0.399129
-0.773298,-1.167896,0.667848,0.219668
1.235254,-0.818205,0.958152,0.721112
-0.99566,-1.368067,0.138092,0.021783
0.260847,-0.627366,0.488758,0.790738
-0.167271,0.180513,0.821277,0.693345
-1.722182,-1.65771,0.731179,0.210677
1.408838,0.940639,0.751646,0.586737
-1.91581,0.68811,0.194579,0.7989
-0.101613,-1.269313,0.533397,0.40264
-3.563449,-0.212824,0.131109,0.309184
-0.354639,-0.009033,0.425689,0.835184
0.234437,0.132663,0.030333,0.069509
-1.743227,2.034973,0.153011,0.999514
1.154853,-2.390657,0.725726,0.499339
-0.442499,-0.868586,0.132686,0.752734
-1.191107,1.051907,0.072116,0.601039
1.749811,-2.260453,0.730699,0.691609
2.175202,1.279335,0.513581,0.775228
-0.498541,-0.497051,0.002397,0.156908
0.172897,1.613738,0.347115,0.019959
-2.139122,2.207038,0.720592,0.44651
-1.610001,0.865474,0.915075,0.623572
-0.972037,-1.288043,0.584631,0.759061
0.433186,1.560769,0.465175,0.585775
0.468409,0.607928,0.036846,0.615976
1.867801,-1.773506,0.839256,0.906661
-3.526733,2.739807,0.926199,0.453421
-1.911514,1.141268,0.042075,0.581128
0.023668,-0.38284,0.674327,0.065824
2.235611,-1.891157,0.414197,0.906527
0.832851,-2.35329,0.077132,0.651802
-2.583919,-2.831054,0.708281,0.575051
-1.476482,-2.737854,0.125121,0.103041
-0.542977,-0.122412,0.55542,0.600842
2.473934,4.41149,0.462756,0.287086
0.393305,-3.199371,0.308899,0.520283
-0.56277,-1.183007,0.510359,0.274851
-0.534842,-1.05118,0.813684,0.096014
0.685812,2.718768,0.242621,0.392719
1.886771,-1.705253,0.884382,0.93784
0.84887,0.751974,0.536005,0.486475
0.478957,0.284343,0.632228,0.717994
1.700751,0.199866,0.474857,0.145409
-2.263713,1.722672,0.884818,0.462116
3.197412,-0.212542,0.688304,0.004104
2.767722,-0.459089,0.888445,0.175221
2.139339,-2.237074,0.36612,0.849799
-2.089305,1.682633,0.869709,0.44719
0.652239,-2.934237,0.444893,0.662755
0.841828,-1.969562,0.992759,0.336594
0.387706,-0.606013,0.494514,0.91979
-4.004652,4.157656,0.971076,0.8603
-0.532522,-0.313954,0.389398,0.31158
-4.327932,-0.238363,0.255053,0.645802
1.401025,-2.331797,0.771391,0.778944
-1.383239,3.550956,0.759702,0.666899
2.109322,-0.388992,0.473579,0.581111
